algo,run_no,itération,coût
rand,0,0,157.61059245820817
rand,0,1,157.61059245820817
rand,0,2,157.61059245820817
rand,0,3,157.61059245820817
rand,0,4,157.61059245820817
rand,0,5,157.61059245820817
rand,0,6,157.61059245820817
rand,0,7,157.61059245820817
rand,0,8,157.61059245820817
rand,0,9,157.61059245820817
rand,0,10,157.61059245820817
rand,0,11,157.61059245820817
rand,0,12,157.61059245820817
rand,0,13,157.61059245820817
rand,0,14,157.53287437552873
rand,0,15,157.53287437552873
rand,0,16,157.53287437552873
rand,0,17,157.53287437552873
rand,0,18,157.53287437552873
rand,0,19,157.53287437552873
rand,0,20,157.53287437552873
rand,0,21,0.0600965031522599
rand,0,22,0.0600965031522599
rand,0,23,0.0600965031522599
rand,0,24,0.0600965031522599
rand,0,25,0.0600965031522599
rand,0,26,0.0600965031522599
rand,0,27,0.0600965031522599
rand,0,28,0.0600965031522599
rand,0,29,0.0600965031522599
rand,0,30,0.0600965031522599
rand,0,31,0.0600965031522599
rand,0,32,0.0600965031522599
rand,0,33,0.0600965031522599
rand,0,34,0.0600965031522599
rand,0,35,0.0600965031522599
rand,0,36,0.0600965031522599
rand,0,37,0.0600965031522599
rand,0,38,0.0600965031522599
rand,0,39,0.0600965031522599
rand,0,40,0.0600965031522599
rand,0,41,0.0600965031522599
rand,0,42,0.0600965031522599
rand,0,43,0.0600965031522599
rand,0,44,0.0600965031522599
rand,0,45,0.0600965031522599
rand,0,46,0.0600965031522599
rand,0,47,0.0600965031522599
rand,0,48,0.0600965031522599
rand,0,49,0.0600965031522599
hc,0,0,157.96568250490867
hc,0,0,157.8248759272789
hc,0,1,157.8248759272789
hc,0,2,157.8248759272789
hc,0,3,157.8248759272789
hc,0,4,157.8248759272789
hc,0,5,157.81133622311273
hc,0,6,157.80764262117142
hc,0,7,157.8039490192301
hc,0,8,157.79073057724855
hc,0,9,157.78719760639953
hc,0,10,157.77413979551028
hc,0,11,157.77413979551028
hc,0,12,157.76108198462103
hc,0,13,157.76108198462103
hc,0,14,157.76108198462103
hc,0,15,157.66824164601178
hc,0,16,157.6661720158418
hc,0,17,157.6661720158418
hc,0,18,157.6661720158418
hc,0,19,157.65786105267406
hc,0,20,157.65786105267406
hc,0,21,157.65786105267406
hc,0,22,157.6495500895063
hc,0,23,157.64123912633858
hc,0,24,157.58035558021285
hc,0,25,157.58006466421782
hc,0,26,157.58006466421782
hc,0,27,157.58006466421782
hc,0,28,157.5363958533837
hc,0,29,157.53425420464393
hc,0,30,157.53211255590415
hc,0,31,157.52997090716437
hc,0,32,157.52997090716437
hc,0,33,157.52997090716437
hc,0,34,157.52997090716437
hc,0,35,157.5278292584246
hc,0,36,157.5278292584246
hc,0,37,157.5278292584246
hc,0,38,157.5278292584246
hc,0,39,157.5278292584246
hc,0,40,157.5278292584246
hc,0,41,157.5074332141544
hc,0,42,157.5068611782962
hc,0,43,157.50628914243796
hc,0,44,157.50571710657977
hc,0,45,157.50571710657977
hc,0,46,157.5049971575188
hc,0,47,157.5049971575188
hc,0,48,157.5049971575188
hc,0,49,157.5044971575188
ghc,0,0,158.2019519178429
ghc,0,0,157.9729174347258
ghc,0,1,157.90361742006917
ghc,0,2,157.7579783763935
ghc,0,3,157.57259663334193
ghc,0,4,157.5123866418193
ghc,0,5,157.5062209993813
ghc,0,6,157.50615849938129
ghc,0,7,157.50609599938127
ghc,0,8,157.50600224938128
ghc,0,9,157.5059397493813
ghc,0,10,157.5059397493813
ghc,0,11,157.50587724938129
ghc,0,12,157.50581474938127
ghc,0,13,157.50581474938127
ghc,0,14,157.5057834993813
ghc,0,15,157.50568974938128
ghc,0,16,157.50568974938128
ghc,0,17,157.50556474938128
ghc,0,18,157.50553349938127
ghc,0,19,157.5055022493813
ghc,0,20,157.5055022493813
ghc,0,21,157.5054709993813
ghc,0,22,157.5054709993813
ghc,0,23,157.50543974938128
ghc,0,24,157.50543974938128
ghc,0,25,157.5053772493813
ghc,0,26,157.5053772493813
ghc,0,27,157.5053772493813
ghc,0,28,157.50531474938128
ghc,0,29,157.50531474938128
ghc,0,30,157.50531474938128
ghc,0,31,157.50525224938127
ghc,0,32,157.5052209993813
ghc,0,33,157.5051897493813
ghc,0,34,157.5051897493813
ghc,0,35,157.50515849938128
ghc,0,36,157.50515849938128
ghc,0,37,157.5050959993813
ghc,0,38,157.50500224938128
ghc,0,39,157.5049397493813
ghc,0,40,157.5049084993813
ghc,0,41,157.5049084993813
ghc,0,42,157.50484599938127
ghc,0,43,157.50472099938128
ghc,0,44,157.50472099938128
ghc,0,45,157.5046897493813
ghc,0,46,157.5046584993813
ghc,0,47,157.5045334993813
ghc,0,48,157.5045334993813
ghc,0,49,157.50443974938128
rand,1,0,176.78055651786923
rand,1,1,158.69495961759748
rand,1,2,158.69495961759748
rand,1,3,158.69495961759748
rand,1,4,158.69495961759748
rand,1,5,158.69495961759748
rand,1,6,158.69495961759748
rand,1,7,158.69495961759748
rand,1,8,158.69495961759748
rand,1,9,158.69495961759748
rand,1,10,158.69495961759748
rand,1,11,158.69495961759748
rand,1,12,157.8993456672876
rand,1,13,157.8993456672876
rand,1,14,157.8993456672876
rand,1,15,157.8993456672876
rand,1,16,157.8993456672876
rand,1,17,157.8993456672876
rand,1,18,157.8993456672876
rand,1,19,157.8993456672876
rand,1,20,157.8993456672876
rand,1,21,157.8993456672876
rand,1,22,157.8993456672876
rand,1,23,157.8993456672876
rand,1,24,157.8993456672876
rand,1,25,157.8993456672876
rand,1,26,157.8993456672876
rand,1,27,157.7194535040695
rand,1,28,157.7194535040695
rand,1,29,157.7194535040695
rand,1,30,157.7194535040695
rand,1,31,157.7194535040695
rand,1,32,157.7194535040695
rand,1,33,157.7194535040695
rand,1,34,157.58214710064868
rand,1,35,157.58214710064868
rand,1,36,157.58214710064868
rand,1,37,157.58214710064868
rand,1,38,157.58214710064868
rand,1,39,157.58214710064868
rand,1,40,157.58214710064868
rand,1,41,157.58214710064868
rand,1,42,157.58214710064868
rand,1,43,157.58214710064868
rand,1,44,157.58214710064868
rand,1,45,157.58214710064868
rand,1,46,157.58214710064868
rand,1,47,157.58214710064868
rand,1,48,157.5231505686542
rand,1,49,157.5231505686542
hc,1,0,187.5316894596336
hc,1,0,187.31539073586976
hc,1,1,185.77690673722674
hc,1,2,185.77690673722674
hc,1,3,185.77690673722674
hc,1,4,184.2791742372887
hc,1,5,183.14690382972333
hc,1,6,182.014633422158
hc,1,7,182.014633422158
hc,1,8,182.014633422158
hc,1,9,180.88236301459264
hc,1,10,179.6101931420519
hc,1,11,178.5395264440507
hc,1,12,178.5395264440507
hc,1,13,178.38689310247355
hc,1,14,178.38689310247355
hc,1,15,178.38689310247355
hc,1,16,178.38689310247355
hc,1,17,177.32399366274527
hc,1,18,177.17912757944106
hc,1,19,177.03426149613688
hc,1,20,177.03426149613688
hc,1,21,177.03426149613688
hc,1,22,175.9417416980675
hc,1,23,175.9417416980675
hc,1,24,175.9417416980675
hc,1,25,175.9417416980675
hc,1,26,175.80497774158852
hc,1,27,175.66821378510951
hc,1,28,174.62286883651294
hc,1,29,173.60849448373872
hc,1,30,173.60849448373872
hc,1,31,172.7448082834244
hc,1,32,172.7448082834244
hc,1,33,172.7448082834244
hc,1,34,171.81413150571157
hc,1,35,171.81413150571157
hc,1,36,171.70637973212303
hc,1,37,171.70637973212303
hc,1,38,170.90152512831662
hc,1,39,170.09667052451024
hc,1,40,170.09667052451024
hc,1,41,169.29181592070384
hc,1,42,168.54928044004566
hc,1,43,167.83089024033083
hc,1,44,167.83089024033083
hc,1,45,167.75253306791012
hc,1,46,167.67417589548938
hc,1,47,166.97973388889028
hc,1,48,166.2852918822912
hc,1,49,166.2852918822912
ghc,1,0,160.61344628517685
ghc,1,0,160.59089188256073
ghc,1,1,159.59307865849834
ghc,1,2,158.9982617967655
ghc,1,3,158.6061702419243
ghc,1,4,158.47136553288433
ghc,1,5,158.11948906473842
ghc,1,6,157.8215472009837
ghc,1,7,157.7513663396382
ghc,1,8,157.69023748072837
ghc,1,9,157.68726598630218
ghc,1,10,157.6358010309863
ghc,1,11,157.55881377313736
ghc,1,12,157.50387630063872
ghc,1,13,157.50381380063874
ghc,1,14,157.50378255063873
ghc,1,15,157.50372005063875
ghc,1,16,157.50368880063874
ghc,1,17,157.50365755063874
ghc,1,18,157.50359505063872
ghc,1,19,157.50359505063872
ghc,1,20,157.50353255063874
ghc,1,21,157.50347005063873
ghc,1,22,157.50347005063873
ghc,1,23,157.50347005063873
ghc,1,24,157.50343880063875
ghc,1,25,157.50337630063873
ghc,1,26,157.50331380063875
ghc,1,27,157.50331380063875
ghc,1,28,157.50325130063874
ghc,1,29,157.50318880063872
ghc,1,30,157.50315755063875
ghc,1,31,157.50309505063873
ghc,1,32,157.50300130063874
ghc,1,33,157.50297005063874
ghc,1,34,157.50297005063874
ghc,1,35,157.50293880063873
ghc,1,36,157.50287630063875
ghc,1,37,157.50281380063873
ghc,1,38,157.50268880063874
ghc,1,39,157.50262630063872
ghc,1,40,157.50259505063875
ghc,1,41,157.50253255063873
ghc,1,42,157.50253255063873
ghc,1,43,157.5025
ghc,1,44,157.5025
ghc,1,45,157.5025
ghc,1,46,157.5025
ghc,1,47,157.5025
ghc,1,48,157.5025
ghc,1,49,157.5025
rand,2,0,228.18072864461098
rand,2,1,159.70810538154845
rand,2,2,159.70810538154845
rand,2,3,159.70810538154845
rand,2,4,157.60872824748742
rand,2,5,157.60872824748742
rand,2,6,157.60872824748742
rand,2,7,157.60872824748742
rand,2,8,157.60872824748742
rand,2,9,157.53559321879726
rand,2,10,157.53559321879726
rand,2,11,157.53559321879726
rand,2,12,157.53559321879726
rand,2,13,157.53559321879726
rand,2,14,157.53559321879726
rand,2,15,157.53559321879726
rand,2,16,157.53559321879726
rand,2,17,157.53559321879726
rand,2,18,157.53559321879726
rand,2,19,157.53559321879726
rand,2,20,157.53559321879726
rand,2,21,157.53559321879726
rand,2,22,157.53559321879726
rand,2,23,157.53559321879726
rand,2,24,157.53559321879726
rand,2,25,157.53559321879726
rand,2,26,157.53559321879726
rand,2,27,157.53559321879726
rand,2,28,157.53559321879726
rand,2,29,157.51396836253457
rand,2,30,157.51396836253457
rand,2,31,157.51396836253457
rand,2,32,157.51396836253457
rand,2,33,157.51396836253457
rand,2,34,157.51396836253457
rand,2,35,157.51396836253457
rand,2,36,157.51396836253457
rand,2,37,157.51396836253457
rand,2,38,157.51396836253457
rand,2,39,157.51396836253457
rand,2,40,157.51396836253457
rand,2,41,157.51396836253457
rand,2,42,157.51396836253457
rand,2,43,157.51396836253457
rand,2,44,157.51396836253457
rand,2,45,157.51396836253457
rand,2,46,157.51396836253457
rand,2,47,157.51396836253457
rand,2,48,157.51396836253457
rand,2,49,157.51396836253457
hc,2,0,185.28949535377956
hc,2,0,185.28949535377956
hc,2,1,185.28949535377956
hc,2,2,183.8796820954643
hc,2,3,183.8796820954643
hc,2,4,181.74075724950384
hc,2,5,181.74075724950384
hc,2,6,181.74075724950384
hc,2,7,181.74075724950384
hc,2,8,181.74075724950384
hc,2,9,180.47897747449434
hc,2,10,180.47897747449434
hc,2,11,180.47897747449434
hc,2,12,180.47897747449434
hc,2,13,180.47897747449434
hc,2,14,180.38244571046118
hc,2,15,179.15954745343507
